End of trend,RSI,Divergence,Number of bounces,Trend length before(bars),Currency Pair,Direction,Entry Time-frame,Reversed,Trend length after (bars),Ranging
23/04/2008 03:00,60,TRUE,2,53,EUR/USD,up,D,TRUE,132,FALSE
06/05/2008 03:00,39,FALSE,0,7,EUR/USD,down (within uptrend),D,FALSE,,FALSE
27/05/2008 03:00,54,FALSE,0,5,EUR/USD,up,D,TRUE,6,TRUE
05/06/2008 03:00,42,FALSE,0,6,EUR/USD,down,D,FALSE,,TRUE
16/06/2008 03:00,43,FALSE,0,4,EUR/USD,down,D,TRUE,20,TRUE
15/07/2008 03:00,61,FALSE,0,20,EUR/USD,up,D,TRUE,41,TRUE
13/08/2008 03:00,20.6,FALSE,0,17,EUR/USD,down,D,FALSE,,FALSE
12/9/2008 03:00,17,FALSE,2,43,EUR/USD,down,D,TRUE,8,FALSE
23/9/2008 03:00,58,FALSE,0,6,EUR/USD,up (within downtrend),D,TRUE,24,FALSE
28/10/2008 03:00,20.6,TRUE,5,70,EUR/USD,down,D,TRUE,36,FALSE
19/12/2008 03:00,77,FALSE,0,13,EUR/USD,up,D,TRUE,42,FALSE
05/03/2009 03:00,41,TRUE,0,56,EUR/USD,down,D,TRUE,189,FALSE
20/03/2009 03:00,72,FALSE,0,11,EUR/USD,up,D,TRUE,20,FALSE
22/04/2009 03:00,42,FALSE,0,22,EUR/USD,down (within uptrend),D,TRUE,156,FALSE
04/06/2009 03:00,72,FALSE,1,30,EUR/USD,up,D,FALSE,,FALSE
17/06/2009 03:00,48,FALSE,0,2,EUR/USD,down,D,FALSE,,TRUE
02/07/2009 03:00,52,FALSE,0,6,EUR/USD,up,D,FALSE,,TRUE
09/07/2009 03:00,47,FALSE,0,5,EUR/USD,down,D,TRUE,17,TRUE
05/08/2009 03:00,64,TRUE,2,75,EUR/USD,up,D,FALSE,,FALSE
24/09/2009 03:00,72,FALSE,3,109,EUR/USD,up,D,TRUE,6,FALSE
1/12/2009 03:00,62,TRUE,5,160,EUR/USD,up,D,TRUE,134,FALSE
23/12/2009 03:00,26,FALSE,0,15,EUR/USD,down,D,FALSE,,FALSE
13/01/2010 03:00,50,FALSE,0,14,EUR/USD,up (within downtrend),D,TRUE,103,FALSE
02/02/2010 03:00,27,FALSE,1,43,EUR/USD,down,D,FALSE,,FALSE
20/05/2010 03:00,23,FALSE,5,118,EUR/USD,down,D,FALSE,,FALSE
08/06/2010 03:00,30,TRUE,6,132,EUR/USD,down,D,TRUE,232,FALSE
19/07/2010 03:00,71,FALSE,0,28,EUR/USD,up,D,FALSE,,FALSE
10/08/2010 03:00,72,FALSE,2,44,EUR/USD,up,D,TRUE,11,FALSE
05/11/2010 03:00,66,TRUE,8,40,EUR/USD,up,D,TRUE,46,FALSE
01/12/2010 03:00,27,TRUE,0,17,EUR/USD,down,D,FALSE,,FALSE
06/12/2010 03:00,45,TRUE,0,2,EUR/USD,up,D,FALSE,,TRUE
04/01/2011 03:00,56,TRUE,0,3,EUR/USD,up,D,TRUE,4,TRUE
11/01/2011 03:00,38,TRUE,1,48,EUR/USD,down,D,TRUE,79,TRUE
11/03/2011 03:00,55,FALSE,0,3,EUR/USD,down (within uptrend),D,TRUE,33,FALSE
23/03/2011 03:00,67,FALSE,0,51,EUR/USD,up,D,FALSE,,FALSE
02/05/2011 03:00,73,TRUE,2,78,EUR/USD,up,D,TRUE,316,FALSE
17/06/2011 03:00,43,FALSE,0,5,EUR/USD,down,D,TRUE,10,TRUE
05/07/2011 03:00,57,FALSE,0,5,EUR/USD,up,D,TRUE,6,TRUE
28/07/2011 03:00,52,FALSE,0,9,EUR/USD,up,D,FALSE,5,TRUE
30/08/2011 03:00,55,FALSE,0,15,EUR/USD,up,D,TRUE,24,TRUE
13/09/2011 03:00,29,FALSE,0,8,EUR/USD,down,D,FALSE,,FALSE
05/10/2011 03:00,28,FALSE,2,24,EUR/USD,down,D,TRUE,17,FALSE
31/10/2011 03:00,67,FALSE,0,17,EUR/USD,up,D,TRUE,55,FALSE
17/01/2012 03:00,33,TRUE,2,55,EUR/USD,down,D,TRUE,31,FALSE
31/01/2012 03:00,63,FALSE,0,9,EUR/USD,up,D,FALSE,,FALSE
16/02/2012 03:00,49,FALSE,0,3,EUR/USD,down (within uptrend),D,TRUE,6,FALSE
29/02/2012 03:00,57,FALSE,0,12,EUR/USD,up,D,TRUE,10,TRUE
16/03/2012 03:00,44,FALSE,0,10,EUR/USD,down,D,TRUE,6,TRUE
09/04/2012 03:00,42,FALSE,0,4,EUR/USD,down,D,FALSE,,TRUE
25/07/2012 03:00,29,TRUE,2,62,EUR/USD,down,D,TRUE,136,FALSE
18/09/2012 03:00,76,FALSE,1,36,EUR/USD,up,D,TRUE,37,FALSE
14/11/2012 03:00,34,FALSE,0,17,EUR/USD,down (within uptrend),D,TRUE,56,FALSE
06/12/2012 03:00,68,FALSE,0,16,EUR/USD,up,D,TRUE,3,FALSE
07/01/2013 03:00,46,FALSE,0,35,EUR/USD,down (within uptrend),D,TRUE,19,FALSE
04/02/2013 03:00,75,FALSE,2,55,EUR/USD,up,D,TRUE,37,FALSE
28/03/2013 03:00,36,TRUE,1,37,EUR/USD,down,D,TRUE,12,FALSE
10/07/2013 03:00,32,FALSE,0,13,EUR/USD,down,D,TRUE,20,TRUE
22/08/2013 03:00,57,FALSE,0,30,EUR/USD,up,D,TRUE,10,FALSE
06/09/2013 03:00,38,FALSE,0,6,EUR/USD,down (within uptrend),D,TRUE,33,FALSE
28/10/2013 03:00,73,FALSE,2,34,EUR/USD,up,D,TRUE,9,FALSE
17/03/2015 03:00,25,FALSE,8,217,EUR/USD,down,D,TRUE,8,FALSE
18/05/2015 03:00,68,TRUE,1,23,EUR/USD,up,D,TRUE,7,TRUE
27/05/2015 03:00,40,FALSE,0,7,EUR/USD,down,D,TRUE,16,TRUE
23/06/2015 03:00,59,FALSE,0,15,EUR/USD,up,D,TRUE,18,TRUE
21/07/2015 03:00,39,FALSE,0,20,EUR/USD,down,D,TRUE,25,TRUE
02/12/2015 03:00,29,TRUE,2,32,EUR/USD,down,D,TRUE,107,FALSE
25/10/2016 03:00,28,FALSE,0,46,EUR/USD,down,D,TRUE,9,FALSE
07/11/2016 03:00,59,FALSE,0,9,EUR/USD,up (within downtrend),D,TRUE,13,FALSE
25/11/2016 03:00,24,FALSE,1,13,EUR/USD,down,D,TRUE,7,FALSE
21/12/2016 03:00,57,TRUE,2,32,EUR/USD,down,D,TRUE,178,FALSE
11/04/2017 03:00,43,FALSE,0,9,EUR/USD,down (within uptrend),D,TRUE,98,FALSE
12/05/2017 03:00,54,FALSE,0,3,EUR/USD,down (within uptrend),D,TRUE,86,FALSE
21/06/2017 03:00,51,FALSE,3,11,EUR/USD,down (within uptrend),D,TRUE,47,FALSE
12/05/2009 03:00,28,FALSE,0,43,USD/CAD,down,D,FALSE,4,FALSE
18/05/2009 03:00,41,FALSE,1,4,USD/CAD,up (within downtrend),D,TRUE,10,FALSE
03/06/2009 03:00,26,FALSE,2,59,USD/CAD,down,D,TRUE,25,FALSE
16/10/2009 03:00,28,FALSE,0,8,USD/CAD,down,D,TRUE,8,FALSE
18/01/2010 03:00,39,FALSE,0,20,USD/CAD,down,D,TRUE,9,TRUE
03/05/2011 03:00,30,FALSE,1,172,USD/CAD,down,D,TRUE,10,FALSE
27/07/2011 03:00,39,TRUE,2,230,USD/CAD,down,D,TRUE,48,FALSE
27/11/2014 03:00,49,FALSE,0,10,USD/CAD,down (within uptrend),D,TRUE,47,FALSE
26/07/2017 03:00,20,FALSE,4,55,USD/CAD,down,D,TRUE,11,FALSE
16/08/2017 03:00,45,FALSE,5,12,USD/CAD,up (within downtrend),D,TRUE,16,FALSE
12/09/2017 03:00,27,TRUE,6,91,USD/CAD,down,D,TRUE,35,FALSE
08/06/2010 03:00,32,TRUE,2,25,AUD/USD,down,D,TRUE,95,FALSE
04/06/2012 03:00,31,TRUE,2,65,AUD/USD,down,D,TRUE,44,FALSE